ID,Name,Header_Affiliation,Author_Type,Credibility_Tier,Primary_Affiliation,Recent_Sources_Raw,Position_Summary,Representative_Quotes_Raw,Key_Arguments,Camp_Categorizations_Raw,Camp_Evolution,AI_Progress_Camp_Label,AI_Progress_Camp_PrimarySecondary,Society_Ethics_Camp_Label,Society_Ethics_Camp_PrimarySecondary,Enterprise_Camp_Label,Enterprise_Camp_PrimarySecondary,Governance_Camp_Label,Governance_Camp_PrimarySecondary,Future_of_Work_Camp_Label,Future_of_Work_Camp_PrimarySecondary,All_URLs,Primary_Work_Title,Primary_Work_Outlet,Primary_Work_Date,Primary_Work_URL
lilian_weng,Lilian Weng,"Head of Safety Systems, OpenAI; alignment researcher",Practitioner,Thought Leader,OpenAI,"OpenAI blog posts on alignment, interpretability, and adversarial robustness; safety systems work for frontier models","Designs safety systems, evaluations, and mitigations for frontier models; popularises technical alignment topics through accessible long-form posts.","'Alignment is not a one-shot problem, it's an ongoing process as capabilities evolve.'; 'We need scalable oversight methods that grow with model power.'","Adversarial testing, red-teaming, and scalable oversight are key; alignment is deeply technical but tractable; favours iterative deployment with strong safeguards over moratoria.",Lab-embedded safety perspective; pragmatic and empirical about alignment.,Shifted from core deep learning research to almost exclusively safety-focused work as model capabilities increased.,Lab-Embedded Aligner,Primary,Risk-Aware Technologist,Secondary,Enterprise Safety Partner,Primary,Evaluation-Centric Governance,Secondary,Active Monitoring of Task Impacts,Secondary,https://openai.com/blog;https://lilianweng.github.io,Thoughts on AI Alignment and Safety,OpenAI / personal blog,2023-01-01,https://lilianweng.github.io
abeba_birhane,Abeba Birhane,"Director, AI Accountability Lab, Trinity College Dublin; cognitive scientist",Academic,Thought Leader,Trinity College Dublin,"Paper 'Algorithmic Colonization of Africa' (2020, SCRIPTed); blog essays; work auditing large vision datasets and model harms","Argues that AI development often replicates colonial power dynamics, especially in the Global South; critiques large datasets and surveillance infrastructures that treat people as raw material.",'Western tech monopolies export their values under the guise of neutral AI.'; 'Those most affected by AI systems must be at the center of their design.',"Algorithmic colonialism describes how data extraction and deployment marginalise local communities; dataset audits reveal racism, misogyny, and violence baked into 'foundation' corpora; calls for decolonial, community-rooted AI.",Decolonial critic of AI power structures; Global South and justice-centric lens.,"Evolved from broader cognitive science to a sharp, globally recognised critique of power, data, and colonial logics in AI.",Decolonial Critic,Primary,Justice and Power Analyst,Primary,Context-First AI Design,Secondary,Global South Governance Advocate,Primary,Worker and Community Protections,Secondary,https://script-ed.org/article/algorithmic-colonization-of-africa;https://abebabirhane.wordpress.com,Algorithmic Colonization of Africa,SCRIPTed,2020-08-06,https://script-ed.org/article/algorithmic-colonization-of-africa
deborah_raji,Deborah Raji,"Researcher, Mozilla / University of California; algorithmic justice advocate",Academic/Practitioner,Thought Leader,Mozilla Foundation; University of California,'Gender Shades' facial recognition audit; testimonies on facial recognition bias; articles on algorithmic accountability,Shows that commercial facial recognition misclassifies darker-skinned and female faces at much higher rates; pushes for bans or strict limits on high-risk uses like policing.,"'We cannot treat the harms of AI as unfortunate bugs, they are features of the system we built.'; 'Communities should have a say in whether and how AI is deployed on them.'","Auditing and measurement are prerequisites for justice; some applications may be fundamentally incompatible with civil rights; accountability includes legal remedies, corporate responsibility, and community oversight.",Algorithmic justice framing; concrete harms and civil-rights violations as central.,"Expanded from technical audits to broader governance interventions, lawsuits, and public advocacy as evidence accumulated.",Algorithmic Justice Auditor,Primary,Civil-Rights Advocate,Primary,High-Risk Use Skeptic,Secondary,Ban-or-Regulate Governance,Primary,Worker and Citizen Safeguards,Secondary,https://www.gendershades.org;https://www.debora-raji.com,Gender Shades: Intersectional Accuracy Disparities in Commercial Gender Classification,"Conference on Fairness, Accountability, and Transparency",2018-02-01,https://www.gendershades.org
daron_acemoglu,Daron Acemoglu,"Professor of Economics, MIT; technology and inequality researcher",Academic,Thought Leader,Massachusetts Institute of Technology,"Book 'Power and Progress' (2023, with Simon Johnson); papers on automation and inequality; op-eds on AI and the future of work","Argues that the direction of technological change is not neutral; warns that excessive automation, including AI, can enrich capital while undermining labor unless institutions push toward 'shared prosperity' applications.","'We should be asking not what AI can do, but what it should do for us.'; 'Unrestrained automation risks creating a feudal economy of a few tech lords and many precarious workers.'","Policy and norms can redirect AI from labor-replacing toward task-complementing uses; taxation, bargaining power, and antitrust matter; warns against 'productivity theater' that hides distributive harms.",Shared-prosperity framing of tech; inequality and institutional design as key levers.,Extended long-standing work on institutions and growth into a focused critique of current AI deployment narratives.,Shared-Prosperity Technologist,Secondary,Inequality-Focused Ethicist,Primary,Human-Complementary Enterprise,Primary,Institution-Centric Governance,Primary,Worker Power Advocate,Primary,https://press.princeton.edu/books/hardcover/9780300256684/power-and-progress;https://economics.mit.edu/faculty/acemoglu,Power and Progress: Our Thousand-Year Struggle Over Technology and Prosperity,Princeton University Press,2023-05-16,https://press.princeton.edu/books/hardcover/9780300256684/power-and-progress
cassie_kozyrkov,Cassie Kozyrkov,"CEO, Kozyr; former Chief Decision Scientist, Google",Practitioner,Thought Leader,Kozyr (formerly Data Scientific); ex-Google,"Decision intelligence articles (HBR, Medium); Decoder and DataCamp interviews on decision-making with AI; talks to executives on AI strategy","Founded 'decision intelligence' and argues the bottleneck is not AI answers but human decision-making: framing questions, clarifying values, and managing risk.","'Friends don’t let friends do data science alone.'; 'The hard part isn’t getting answers from AI, it’s knowing which questions matter.'",Distinguishes data-inspired from data-driven decisions; emphasises decision pipelines; AI should augment human judgment; organisations need decision literacy more than more dashboards.,"Enterprise-focused, pragmatic humanist; co-evolution of humans and AI in decision infrastructure.","Moved from internal evangelism at Google to independent advisory, with more emphasis on ethical debt and long-term AI strategy for leaders.",Decision Intelligence Evangelist,Primary,Pragmatic Humanist,Primary,Enterprise AI Strategist,Primary,Executive Governance Coach,Secondary,Skill-Up Workforce Advocate,Secondary,https://www.kozyr.com;https://hbr.org/2019/07/the-first-thing-great-decision-makers-do;https://www.theverge.com/decoder-podcast-with-nilay-patel/703269/cassie-kozyrkov-interview-ai-google-decision-scientist,The First Thing Great Decision Makers Do,Harvard Business Review,2019-07-01,https://hbr.org/2019/07/the-first-thing-great-decision-makers-do
daphne_koller,Daphne Koller,"CEO, insitro; co-founder, Coursera",Academic/Practitioner,Seminal Thinker,insitro; formerly Stanford University,Coursera founding talks; research on probabilistic graphical models; insitro work applying ML to drug discovery,Pioneered probabilistic modeling and translated it into education and biotech; treats AI as a rigorous tool for solving hard real-world problems.,"'AI is not magic, it’s statistics done right at scale.'; 'The real promise of machine learning is in domains where we can combine data with scientific understanding.'","AI’s biggest value is in structured, high-stakes domains like biology and education; emphasises rigorous data, domain expertise, and partnerships; relatively quiet on AGI hype.",Scientific applicationist; impact-focused more than speculative.,Shifted from academic theory to applied entrepreneurship while keeping an evidence-based stance on AI capabilities.,Scientific Applicationist,Primary,Responsible Innovator,Secondary,Vertical AI Builder,Primary,Domain-Specific Governance,Secondary,Reskilling via EdTech,Secondary,https://www.insitro.com;https://cs.stanford.edu/people/koller;https://www.coursera.org,Probabilistic Graphical Models,Stanford / Coursera,2012-01-01,https://www.coursera.org/specializations/probabilistic-graphical-models
nat_friedman,Nat Friedman,"Former CEO, GitHub; AI investor",Industry Leader,Thought Leader,NFDG (investment fund); ex-GitHub,"GitHub Copilot launch communications; investments in AI startups (e.g., Midjourney, Scale); reports of joining Meta AI efforts",Champion of developer-centric AI tooling and open-source ecosystems; sees AI as a new general-purpose platform similar to the internet.,"'Software is eating the world, and AI is eating software.'; 'The most interesting AI work happens where open-source and great product taste meet.'","Rapid deployment of AI tools to developers and founders is net positive; emphasises open models, great UX, and founder-friendly capital; optimistic on disruption and value creation.",Techno-optimist builder; OSS plus product taste as core levers.,"Transitioned from running a large dev platform to backing and advising frontier AI companies, nudging them toward open ecosystems.",Techno-Optimist Builder,Primary,Progress-First Ethicist,Secondary,Founder-Centric Enterprise,Primary,Light-Touch Governance,Secondary,Upskilling Developers,Secondary,https://nat.org;https://github.blog/2021-06-29-introducing-github-copilot-ai-powered-pair-programmer,Introducing GitHub Copilot: Your AI Pair Programmer,GitHub Blog,2021-06-29,https://github.blog/2021-06-29-introducing-github-copilot-ai-powered-pair-programmer
patrick_collison,Patrick Collison,"Co-founder and CEO, Stripe; science and progress essayist",Industry Leader,Thought Leader,Stripe,Essays and interviews on progress studies; Fast Grants initiative; commentary on AI and economic growth,"Argues society should be more ambitious about speeding up scientific and technological progress, including AI, while improving state capacity.","'The world could be much richer and more capable than it is, if we took progress seriously.'; 'We should worry at least as much about under-shooting on innovation as we do about over-shooting.'",Supports high-velocity experimentation; sees AI as one tool in a broader progress agenda; favours pro-innovation regulation that still addresses concrete harms; optimistic about human adaptability.,Progress-studies lens on AI; innovation and state capacity over fear.,"Moved from purely business focus to public intellectual role on progress, including funding AI and science efforts.",Progress Studies Optimist,Primary,Prosperity-Oriented Ethicist,Secondary,Productivity-First Enterprise,Primary,Pro-Innovation Regulation,Secondary,Transition and Reskilling Pragmatist,Secondary,https://patrickcollison.com;https://patrickcollison.com/progress,We Need a New Science of Progress,Personal blog / essays,2019-01-01,https://patrickcollison.com/progress
emad_mostaque,Emad Mostaque,"Founder, Stability AI (former CEO)",Industry Leader,Thought Leader,Stability AI (founder),Launch of Stable Diffusion (2022); interviews on open-source generative models; commentary on decentralising AI,"Promoted the idea that powerful generative models should be widely accessible via open weights, arguing this democratises creativity and reduces Big Tech dominance.","'We want to put this technology into the hands of a billion people.'; 'Open-source AI is the best way to ensure it serves everyone, not just a few big companies.'","Believes diffusion of capabilities is a safeguard against centralised control; emphasises open ecosystems, community governance, and rapid iteration; critics say this underestimates misuse and safety issues.",Open-source maximalist; libertarian-leaning tech ethic.,Stepped down as CEO amid governance challenges but remains symbolic of the open-source generative AI push.,Open-Source Maximalist,Primary,Libertarian Tech Ethicist,Secondary,Creative Economy Booster,Primary,Minimal-Barrier Governance,Secondary,Freelancer and Creator Empowerment,Secondary,https://stability.ai;https://stability.ai/blog/stable-diffusion-public-release,Stable Diffusion Public Release,Stability AI blog,2022-08-22,https://stability.ai/blog/stable-diffusion-public-release
percy_liang,Percy Liang,"Associate Professor, Stanford; Director, Center for Research on Foundation Models",Academic,Seminal Thinker,Stanford University; Stanford HAI,CRFM report 'On the Opportunities and Risks of Foundation Models' (2021); work on holistic evaluation of language models; Stanford HAI annual reports,"Leads systematic study of foundation models, emphasising rigorous evaluation across capabilities, harms, and societal impact; bridges technical research and policy.","'Foundation models are not just another tool, they are a new abstraction in computing.'; 'We need holistic evaluation that covers not only what models can do, but what they should not do.'","Argues for open benchmarks, transparent documentation, and interdisciplinary research on foundation models; sees evaluation infrastructure as public goods; warns about entrenching harms and power imbalances.",Foundation model cartographer; cautious but optimistic under the right guardrails.,Moved from core NLP and robustness work into leading interdisciplinary efforts on foundation model analysis and governance.,Foundation Model Cartographer,Primary,Societal Impact Analyst,Primary,Platform-Level Enterprise Advisor,Secondary,Standards and Evaluation Governance,Primary,Task and Skill Shift Analyst,Secondary,https://crfm.stanford.edu/report.html;https://hai.stanford.edu,On the Opportunities and Risks of Foundation Models,Center for Research on Foundation Models (CRFM),2021-08-01,https://crfm.stanford.edu/report.html
